Medio,Zona,Martes|matutino,Martes|mediodia,Martes|vespertino,Miércoles|matutino,Miércoles|mediodia,Miércoles|vespertino,Jueves|matutino,Jueves|mediodia,Jueves|vespertino,Viernes|matutino,Viernes|mediodia,Viernes|vespertino
Ronin,Centro,20,20,20,20,20,20,20,20,20,20,20,20
Uber/ Conductor,Sur1,3,7,0,0,0,5,3,7,0,0,0,5
Uber/ Conductor,Sur2,7,3,0,0,0,5,7,3,0,0,0,5
Uber/ Conductor,Poniente,0,0,5,10,0,0,0,0,5,10,0,0
Uber/ Conductor,Norte1,0,0,5,5,5,0,0,0,5,5,5,0
Uber,Norte2,0,0,0,5,0,5,0,0,0,5,0,5
Uber,Oriente,0,0,0,5,0,5,0,0,0,5,0,5
