CP;lat/ln;Distance (meters);Zona;Tarifa
57450;19.40776916, -99.05235332;13.53372973;Oriente;140
57440;19.40889844, -99.04881881;13.92322968;Oriente;140
57420;19.41297001, -99.05315732;13.59435634;Oriente;140
57465;19.40255315, -99.05033344;13.623244;Oriente;140
57400;19.41909179, -99.0548778;13.62033076;Oriente;140
57430;19.41299066, -99.05544611;13.36380474;Oriente;140
57425;19.41031181, -99.05569427;13.26079389;Oriente;140
57460;19.40395803, -99.05417473;13.25729559;Oriente;140
53550;19.46013587, -99.23251712;10.55530088;Norte1;140
53560;19.46005984, -99.22625222;10.20744336;Norte1;140
53569;19.46173385, -99.22362043;10.23788721;Norte1;140
53398;19.45596481, -99.22214312;9.599655018;Norte1;140
53320;19.49137006, -99.21783899;13.03539469;Norte1;140
53700;19.45302631, -99.25094496;11.12718055;Norte1;140
53350;19.47688165, -99.22407243;11.77313502;Norte1;140
53500;19.46941081, -99.22914803;11.26390809;Norte1;140
53070;19.4738615, -99.23677534;12.08869672;Norte1;140
53279;19.48095064, -99.25186223;13.60668226;Norte1;140
53940;19.42441375, -99.24197883;8.306603437;Poniente;90
53687;19.44874952, -99.272508;12.4913997;Norte1;140
53664;19.45234773, -99.27077219;12.59802249;Norte1;140
53660;19.4578385, -99.25660806;11.92409469;Norte1;140
53378;19.47020156, -99.21305549;10.64853957;Norte1;140
53329;19.48606102, -99.2183649;12.49609496;Norte1;140
53390;19.45515211, -99.21822119;9.3277723;Norte1;140
53909;19.42655918, -99.24011731;8.295577164;Poniente;90
53970;19.42450509, -99.23041162;7.36920166;Poniente;90
53930;19.42931748, -99.24280896;8.707431414;Poniente;90
53900;19.43108897, -99.23506038;8.223619778;Poniente;90
53839;19.43016794, -99.25070438;9.422897886;Poniente;140
53830;19.43211708, -99.25187207;9.649962806;Poniente;140
53800;19.43314339, -99.25820677;10.25558058;Poniente;140
53598;19.44312769, -99.24662887;10.02563096;Norte1;140
53570;19.45332531, -99.24251471;10.56499899;Norte1;140
53770;19.44698122, -99.2472689;10.37555488;Norte1;140
53718;19.4402105, -99.26443653;11.24436955;Poniente;140
53810;19.43509183, -99.25375;10.00647962;Poniente;140
53819;19.43728162, -99.25257841;10.06077539;Poniente;140
53580;19.45981479, -99.24675234;11.40444601;Norte1;140
53520;19.46189951, -99.23797107;11.03602869;Norte1;140
53708;19.45314214, -99.25590958;11.50012394;Norte1;140
